before;after;refactoring;path;class;type;cbo;wmc;rfc;lcom;nom;nopm;nosm;nof;nopf;nosf;nosi;loc
562b78b224b3f3ed45e3742e7d162f3d717b42bd;32d7b56980927c5683a2727d80e8e6269553508c;RENAME_PARAMETER;extensions/json/src/main/java/org/apache/abdera/ext/json/JSONUtil.java;org.apache.abdera.ext.json.JSONUtil;class;41;146;109;153;18;1;18;0;0;0;152;660
562b78b224b3f3ed45e3742e7d162f3d717b42bd;32d7b56980927c5683a2727d80e8e6269553508c;MOVE_OPERATION;extensions/json/src/main/java/org/apache/abdera/ext/json/JSONUtil.java;org.apache.abdera.ext.json.JSONUtil;class;41;146;109;153;18;1;18;0;0;0;152;660
bf6908cdae6dbb5a60bb240552c6046109fa4e92;c2454b73db9af1b69485509f98beec32b62e4538;EXTRACT_SUPERCLASS;extensions/converters/src/main/java/org/apache/abdera/converter/impl/SourceConverter.java;org.apache.abdera.converter.impl.SourceConverter;class;34;34;21;1;2;0;0;0;0;0;0;165
99e8502c032bfcb3345dcb58297c1f133c622f00;0bce6accb610d15fdd656bfe335d0bd6a513b09c;RENAME_VARIABLE;extensions/converters/src/test/java/org/apache/abdera/test/converter/ConverterTest.java;org.apache.abdera.test.converter.ConverterTest;class;22;3;3;1;2;1;2;21;21;0;1;77
3dbe7f7e70041832700e3325f32c5f3b00f9cfe9;8940ea9f4e3302690fb4429b3a2b7e9ff83d8f5b;EXTRACT_OPERATION;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractResponseContext.java;org.apache.abdera.protocol.server.impl.AbstractResponseContext;class;19;77;29;459;35;34;0;5;0;1;0;271
3dbe7f7e70041832700e3325f32c5f3b00f9cfe9;8940ea9f4e3302690fb4429b3a2b7e9ff83d8f5b;EXTRACT_VARIABLE;server/src/main/java/org/apache/abdera/protocol/server/impl/BaseResponseContext.java;org.apache.abdera.protocol.server.impl.BaseResponseContext;class;11;22;14;0;10;10;0;2;0;0;0;98
aa1573960c037eada7549fd3b28a638ad315ae12;96bff2d96d450ee91028293e351948ae9323cfc4;RENAME_METHOD;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractRequestHandler.java;org.apache.abdera.protocol.server.impl.AbstractRequestHandler;class;20;30;45;28;8;1;0;1;0;1;0;162
70660f744bab50893133e5e4ba978ba4e8a45496;4fa1a9f4fc860aacc9cfba31e0c462b6f39fc574;EXTRACT_OPERATION;extensions/geo/src/main/java/org/apache/abdera/ext/geo/GeoHelper.java;org.apache.abdera.ext.geo.GeoHelper;class;23;81;47;98;16;5;16;21;21;21;18;292
70660f744bab50893133e5e4ba978ba4e8a45496;4fa1a9f4fc860aacc9cfba31e0c462b6f39fc574;EXTRACT_OPERATION;extensions/geo/src/main/java/org/apache/abdera/ext/geo/GeoHelper.java;org.apache.abdera.ext.geo.GeoHelper;class;23;81;47;98;16;5;16;21;21;21;18;292
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_CLASS;extensions/main/src/test/java/org/apache/abdera/test/ext/main/TestSuite.java;org.apache.abdera.test.ext.TestSuite;class;11;2;2;1;2;2;1;0;0;0;0;43
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/gdata/src/main/java/org/apache/abdera/ext/gdata/GoogleLoginAuthScheme.java;org.apache.abdera.ext.gdata.GoogleLoginAuthScheme;class;21;16;27;15;10;8;2;1;0;0;0;144
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/geo/src/main/java/org/apache/abdera/ext/geo/Position.java;org.apache.abdera.ext.geo.Position;class;11;40;5;26;13;13;0;7;2;2;0;125
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/json/src/main/java/org/apache/abdera/ext/json/JSONWriter.java;org.apache.abdera.ext.json.JSONWriter;class;33;62;49;76;13;9;7;2;2;2;16;246
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/main/src/test/java/org/apache/abdera/test/ext/thread/ThreadTest.java;org.apache.abdera.test.ext.thread.ThreadTest;class;5;1;9;0;1;1;1;0;0;0;0;39
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/media/src/test/java/org/apache/abdera/test/ext/media/MediaTest.java;org.apache.abdera.test.ext.media.MediaTest;class;12;2;33;0;1;1;1;0;0;0;0;73
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/opensearch/src/test/java/org/apache/abdera/test/ext/opensearch/OpenSearchTest.java;org.apache.abdera.test.ext.opensearch.OpenSearchTest;class;6;1;8;0;1;1;0;0;0;0;0;43
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/sharing/src/test/java/org/apache/abdera/test/ext/sharing/SharingTest.java;org.apache.abdera.test.ext.sharing.SharingTest;class;19;9;46;28;7;7;2;0;0;0;0;217
9a60c0a8a71fe3a925f26cb3d54f89ee2abd62a2;693b846eac37a36e30dfc4097247181ff610137f;MOVE_SOURCE_FOLDER;extensions/wsse/src/main/java/org/apache/abdera/ext/wsse/WSSEAuthScheme.java;org.apache.abdera.ext.wsse.WSSEAuthScheme;class;18;13;17;28;8;6;1;1;0;0;0;110
f01772447051a7872ed95f5e0a921e6cd3022920;c72d47a1b794120ca75cff60470bf64fb98f9c94;MOVE_CLASS;extensions/src/test/java/org/apache/abdera/test/ext/license/LicenseTest.java;org.apache.abdera.test.license.LicenseTest;class;5;5;12;0;1;1;1;0;0;0;0;79
f01772447051a7872ed95f5e0a921e6cd3022920;c72d47a1b794120ca75cff60470bf64fb98f9c94;MOVE_CLASS;extensions/src/test/java/org/apache/abdera/test/ext/sharing/SharingTest.java;org.apache.abdera.test.sharing.SharingTest;class;19;9;46;28;7;7;2;0;0;0;0;217
3565d5d00b104627f83cc19993049b05fcb982ec;343613812479738a75871e78a2d40cb3186f80f1;RENAME_PARAMETER;extensions/src/main/java/org/apache/abdera/ext/features/FeaturesHelper.java;org.apache.abdera.ext.features.FeaturesHelper;class;13;17;11;22;8;6;7;32;31;32;5;162
3565d5d00b104627f83cc19993049b05fcb982ec;343613812479738a75871e78a2d40cb3186f80f1;EXTRACT_AND_MOVE_OPERATION;extensions/src/test/java/org/apache/abdera/test/ext/features/FeatureTest.java;org.apache.abdera.test.ext.features.FeatureTest;class;4;1;9;0;1;1;1;0;0;0;0;53
1ceae316ef35bca33797fc33e8939ea4b2cf12e2;e362380f436e30b56430f11be6a1ea548a034346;EXTRACT_CLASS;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java;org.apache.abdera.protocol.server.impl.AbstractProvider;class;41;97;78;173;35;8;2;7;0;6;0;512
1ceae316ef35bca33797fc33e8939ea4b2cf12e2;e362380f436e30b56430f11be6a1ea548a034346;MOVE_ATTRIBUTE;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java;org.apache.abdera.protocol.server.impl.AbstractProvider;class;41;97;78;173;35;8;2;7;0;6;0;512
1ceae316ef35bca33797fc33e8939ea4b2cf12e2;e362380f436e30b56430f11be6a1ea548a034346;MOVE_ATTRIBUTE;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java;org.apache.abdera.protocol.server.impl.AbstractProvider;class;41;97;78;173;35;8;2;7;0;6;0;512
1ceae316ef35bca33797fc33e8939ea4b2cf12e2;e362380f436e30b56430f11be6a1ea548a034346;MOVE_ATTRIBUTE;server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java;org.apache.abdera.protocol.server.impl.AbstractProvider;class;41;97;78;173;35;8;2;7;0;6;0;512
